Number of frames: 3000
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z,iRigid16_probe_A1 x,iRigid16_probe_A1 y,iRigid16_probe_A1 z,iRigid16_probe_A2 x,iRigid16_probe_A2 y,iRigid16_probe_A2 z,iRigid16_probe_A3 x,iRigid16_probe_A3 y,iRigid16_probe_A3 z,iRigid14_probe_B1 x,iRigid14_probe_B1 y,iRigid14_probe_B1 z,iRigid14_probe_B2 x,iRigid14_probe_B2 y,iRigid14_probe_B2 z,iRigid14_probe_B3 x,iRigid14_probe_B3 y,iRigid14_probe_B3 z,iRigid8_probe_C1 x,iRigid8_probe_C1 y,iRigid8_probe_C1 z,iRigid8_probe_C2 x,iRigid8_probe_C2 y,iRigid8_probe_C2 z,iRigid8_probe_C3 x,iRigid8_probe_C3 y,iRigid8_probe_C3 z
11,376.363983154,-209.042999268,-2352.049560547,378.377716064,-188.872573853,-2349.178222656,394.953887939,-200.340621948,-2353.562988281,241.716598511,-222.750747681,-2324.594726563,242.638381958,-242.566787720,-2326.601074219,224.633453369,-233.527069092,-2324.943115234,377.335632324,-271.576782227,-2328.682617188,381.473968506,-252.142990112,-2324.937988281,396.768798828,-265.123291016,-2329.079345703,,,,,,,,,,283.412658691,-192.324539185,-2348.373291016,301.696899414,-200.715042114,-2359.626953125,332.778900146,-186.786941528,-2355.940185547,289.062255859,-229.443588257,-2333.175537109,300.543212891,-226.348846436,-2349.057861328,335.002044678,-219.986923218,-2333.283447266,282.181335449,-262.972869873,-2322.862304688,302.155120850,-255.350982666,-2336.596191406,335.091491699,-264.078247070,-2322.527099609,
12,376.387939453,-209.020019531,-2351.760253906,378.395385742,-188.833404541,-2349.014160156,394.979034424,-200.318191528,-2353.338134766,241.732650757,-222.594711304,-2324.308837891,242.648727417,-242.418975830,-2326.187744141,224.644134521,-233.369674683,-2324.597900391,377.268829346,-271.591491699,-2327.881103516,381.448547363,-252.138381958,-2324.303466797,396.712738037,-265.198852539,-2328.308837891,,,,,,,,,,283.433349609,-192.323577881,-2348.135742188,301.715362549,-200.774261475,-2359.347900391,332.792785645,-186.809265137,-2355.763671875,289.079681396,-229.350234985,-2332.820068359,300.570129395,-226.359161377,-2348.715332031,335.021453857,-219.903717041,-2332.962646484,282.125946045,-262.683166504,-2322.268310547,302.138732910,-255.237243652,-2336.041992188,335.032440186,-263.927520752,-2321.850830078,
13,376.415283203,-209.003890991,-2351.553222656,378.415283203,-188.802124023,-2348.907958984,394.999908447,-200.306274414,-2353.152832031,241.754821777,-222.444824219,-2324.019531250,242.666702271,-242.276794434,-2325.774902344,224.658462524,-233.220779419,-2324.241699219,377.216003418,-271.575286865,-2327.120117188,381.425292969,-252.099670410,-2323.715332031,396.665985107,-265.220123291,-2327.602294922,,,,,,,,,,283.451049805,-192.306106567,-2348.122558594,301.747711182,-200.810653687,-2359.269775391,332.818389893,-186.821640015,-2355.720947266,289.098205566,-229.255538940,-2332.487792969,300.589080811,-226.364044189,-2348.401123047,335.040679932,-219.813461304,-2332.688232422,282.085144043,-262.462402344,-2321.598144531,302.111541748,-255.172149658,-2335.435058594,334.989471436,-263.789733887,-2321.163330078,
14,376.422698975,-208.986129761,-2351.370117188,378.419097900,-188.774917603,-2348.827392578,395.010864258,-200.295806885,-2353.026367188,241.758407593,-222.288314819,-2323.769042969,242.666107178,-242.130493164,-2325.419433594,224.663909912,-233.064361572,-2323.947753906,377.147766113,-271.582885742,-2326.392578125,381.396331787,-252.085754395,-2323.153808594,396.617462158,-265.262207031,-2326.911132813,,,,,,,,,,283.458923340,-192.293273926,-2347.964111328,301.750305176,-200.849517822,-2359.080322266,332.820251465,-186.836441040,-2355.621093750,289.107452393,-229.152725220,-2332.166015625,300.610839844,-226.346923828,-2348.085693359,335.051727295,-219.719772339,-2332.381591797,282.033447266,-262.248016357,-2321.040771484,302.086059570,-255.114715576,-2334.921630859,334.934844971,-263.667449951,-2320.543945313,
15,376.450958252,-208.957962036,-2351.178955078,378.437438965,-188.735000610,-2348.729003906,395.033172607,-200.264221191,-2352.875488281,241.769790649,-222.159088135,-2323.555664063,242.677185059,-242.010009766,-2325.125732422,224.673477173,-232.931488037,-2323.705810547,377.080627441,-271.603607178,-2325.715576172,381.371368408,-252.093627930,-2322.633056641,396.564300537,-265.339111328,-2326.263916016,,,,,,,,,,283.478149414,-192.301055908,-2347.845214844,301.773773193,-200.897903442,-2358.923095703,332.836120605,-186.852005005,-2355.529296875,289.125549316,-229.067199707,-2331.883789063,300.643280029,-226.327758789,-2347.804687500,335.071960449,-219.644500732,-2332.097412109,281.982147217,-261.989624023,-2320.552001953,302.068450928,-255.021163940,-2334.467773438,334.879241943,-263.536804199,-2319.981933594,
16,376.473327637,-208.930358887,-2351.005859375,378.451568604,-188.696670532,-2348.642578125,395.058441162,-200.233428955,-2352.726562500,241.792541504,-222.056686401,-2323.366943359,242.705505371,-241.913970947,-2324.851562500,224.698516846,-232.832717896,-2323.465820313,377.037200928,-271.607604980,-2325.058837891,381.363372803,-252.086593628,-2322.138916016,396.529113770,-265.395538330,-2325.651123047,,,,,,,,,,283.493194580,-192.302062988,-2347.814941406,301.801239014,-200.938278198,-2358.841796875,332.854492188,-186.863342285,-2355.485107422,289.148040771,-228.989044189,-2331.678222656,300.660766602,-226.315628052,-2347.613769531,335.092102051,-219.556365967,-2331.945068359,281.953765869,-261.748748779,-2320.021728516,302.061431885,-254.941009521,-2333.986083984,334.847137451,-263.405273438,-2319.413330078,
17,376.495452881,-208.897872925,-2350.857421875,378.465911865,-188.654953003,-2348.571777344,395.076385498,-200.203918457,-2352.609375000,241.810119629,-221.943405151,-2323.170654297,242.725296021,-241.805664063,-2324.548095703,224.719238281,-232.724609375,-2323.208740234,376.981262207,-271.610229492,-2324.381103516,381.345184326,-252.073577881,-2321.624267578,396.487640381,-265.437042236,-2325.009033203,,,,,,,,,,283.508972168,-192.284439087,-2347.741699219,301.820770264,-200.957962036,-2358.732910156,332.869628906,-186.861328125,-2355.427001953,289.165344238,-228.908233643,-2331.452148438,300.674865723,-226.317947388,-2347.403564453,335.107025146,-219.465896606,-2331.777099609,281.914184570,-261.530212402,-2319.511230469,302.046539307,-254.879364014,-2333.515625000,334.803802490,-263.280364990,-2318.842773438,
18,376.532379150,-208.854629517,-2350.687988281,378.488616943,-188.605117798,-2348.489990234,395.105895996,-200.160430908,-2352.485351563,241.840194702,-221.818191528,-2322.972412109,242.749572754,-241.685760498,-2324.241943359,224.743789673,-232.596710205,-2322.942871094,376.915802002,-271.635955811,-2323.671875000,381.324249268,-252.084167480,-2321.074707031,396.438171387,-265.507019043,-2324.324462891,,,,,,,,,,283.535583496,-192.289276123,-2347.603759766,301.848175049,-200.998229980,-2358.565673828,332.889526367,-186.868026733,-2355.333251953,289.188171387,-228.835968018,-2331.239990234,300.689941406,-226.334655762,-2347.211181641,335.131378174,-219.403823853,-2331.639892578,281.866943359,-261.300781250,-2319.019042969,302.033294678,-254.813796997,-2333.051513672,334.751525879,-263.163085938,-2318.262451172,
19,376.551483154,-208.824890137,-2350.487060547,378.496490479,-188.561401367,-2348.378662109,395.124786377,-200.124618530,-2352.331542969,241.852127075,-221.694702148,-2322.754882813,242.765640259,-241.569061279,-2323.929199219,224.760070801,-232.472015381,-2322.686279297,376.845062256,-271.662780762,-2322.954833984,381.300872803,-252.101531982,-2320.517089844,396.384338379,-265.593750000,-2323.632568359,,,,,,,,,,283.547637939,-192.305541992,-2347.434814453,301.861175537,-201.050506592,-2358.366210938,332.894622803,-186.885864258,-2355.209960938,289.208435059,-228.749588013,-2330.955078125,300.721527100,-226.323944092,-2346.929931641,335.151550293,-219.317504883,-2331.367187500,281.817474365,-261.033752441,-2318.520996094,302.020233154,-254.720092773,-2332.579833984,334.695770264,-263.031677246,-2317.675781250,
20,376.576782227,-208.807907104,-2350.283203125,378.514831543,-188.534713745,-2348.270263672,395.144042969,-200.113311768,-2352.157226563,241.866943359,-221.567901611,-2322.519287109,242.780578613,-241.448806763,-2323.590576172,224.775451660,-232.351409912,-2322.408935547,376.781768799,-271.646606445,-2322.236328125,381.269989014,-252.079101563,-2319.957519531,396.326110840,-265.632720947,-2322.944335938,,,,,,,,,,283.565338135,-192.295303345,-2347.366210938,301.887420654,-201.088302612,-2358.244628906,332.915832520,-186.901855469,-2355.136962891,289.229156494,-228.658599854,-2330.645507813,300.754486084,-226.313217163,-2346.623535156,335.171051025,-219.221145630,-2331.069824219,281.767547607,-260.777526855,-2317.992187500,301.998718262,-254.625747681,-2332.082031250,334.640441895,-262.883392334,-2317.074218750,
