Number of frames: 3000
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z,iRigid16_probe_A1 x,iRigid16_probe_A1 y,iRigid16_probe_A1 z,iRigid16_probe_A2 x,iRigid16_probe_A2 y,iRigid16_probe_A2 z,iRigid16_probe_A3 x,iRigid16_probe_A3 y,iRigid16_probe_A3 z,iRigid14_probe_B1 x,iRigid14_probe_B1 y,iRigid14_probe_B1 z,iRigid14_probe_B2 x,iRigid14_probe_B2 y,iRigid14_probe_B2 z,iRigid14_probe_B3 x,iRigid14_probe_B3 y,iRigid14_probe_B3 z,iRigid8_probe_C1 x,iRigid8_probe_C1 y,iRigid8_probe_C1 z,iRigid8_probe_C2 x,iRigid8_probe_C2 y,iRigid8_probe_C2 z,iRigid8_probe_C3 x,iRigid8_probe_C3 y,iRigid8_probe_C3 z
11,377.780639648,-206.917327881,-2348.953613281,379.215637207,-186.555740356,-2347.515625000,396.135467529,-197.842468262,-2351.090087891,242.919509888,-220.656265259,-2319.462158203,243.856369019,-240.560455322,-2319.826904297,225.883911133,-231.461761475,-2318.448242188,378.772247314,-268.877319336,-2321.880859375,382.826324463,-249.134826660,-2320.549072266,398.114257813,-262.413909912,-2323.624023438,,,,,,,,,,284.394134521,-192.593078613,-2346.427978516,302.922576904,-201.243865967,-2357.068359375,333.598114014,-186.226852417,-2354.389648438,290.044403076,-227.954086304,-2328.724853516,301.084747314,-226.178466797,-2345.113525391,335.925537109,-218.453231812,-2330.860351563,283.751342773,-260.228271484,-2314.168212891,303.231994629,-254.138916016,-2329.303955078,336.655914307,-260.974395752,-2315.338867188,
12,377.803131104,-206.883728027,-2348.779541016,379.230529785,-186.513854980,-2347.417480469,396.157440186,-197.807571411,-2350.943603516,242.930099487,-220.474304199,-2319.240478516,243.862136841,-240.382827759,-2319.494628906,225.891876221,-231.274917603,-2318.173583984,378.712829590,-268.846099854,-2321.125732422,382.798614502,-249.099884033,-2319.954833984,398.066558838,-262.437744141,-2322.896972656,,,,,,,,,,284.411071777,-192.586425781,-2346.341552734,302.946929932,-201.269592285,-2356.942626953,333.615417480,-186.230224609,-2354.309082031,290.056701660,-227.831542969,-2328.443847656,301.103790283,-226.148101807,-2344.837646484,335.939971924,-218.348892212,-2330.613525391,283.695953369,-259.952056885,-2313.615966797,303.208648682,-254.028076172,-2328.776123047,336.600524902,-260.808746338,-2314.708007813,
13,377.827392578,-206.854476929,-2348.604980469,379.245635986,-186.480392456,-2347.331787109,396.177520752,-197.781799316,-2350.791748047,242.937911987,-220.284576416,-2319.027587891,243.859283447,-240.189239502,-2319.139160156,225.893020630,-231.066955566,-2317.877685547,378.637695313,-268.824188232,-2320.333740234,382.763641357,-249.072219849,-2319.329833984,398.009399414,-262.465667725,-2322.142089844,,,,,,,,,,284.426727295,-192.583480835,-2346.317138672,302.975738525,-201.306304932,-2356.862548828,333.636016846,-186.243637085,-2354.267089844,290.057006836,-227.727767944,-2328.192871094,301.099609375,-226.167282104,-2344.602050781,335.944122314,-218.283050537,-2330.445312500,283.633514404,-259.678558350,-2312.992187500,303.171936035,-253.923843384,-2328.184326172,336.537322998,-260.647338867,-2314.026123047,
14,377.852844238,-206.823440552,-2348.423095703,379.263336182,-186.444015503,-2347.225097656,396.200622559,-197.751724243,-2350.649414063,242.945007324,-220.121276855,-2318.838623047,243.865722656,-240.024276733,-2318.839599609,225.898056030,-230.887649536,-2317.626953125,378.566314697,-268.812316895,-2319.593261719,382.736145020,-249.065155029,-2318.759277344,397.954132080,-262.520690918,-2321.424316406,,,,,,,,,,284.447906494,-192.580963135,-2346.157226563,302.996948242,-201.335098267,-2356.676513672,333.652130127,-186.250915527,-2354.146240234,290.062957764,-227.625381470,-2327.967041016,301.104309082,-226.159317017,-2344.385742188,335.952331543,-218.205352783,-2330.276611328,283.570434570,-259.371520996,-2312.501708984,303.149353027,-253.801132202,-2327.710449219,336.473419189,-260.478546143,-2313.433837891,
15,377.873352051,-206.789276123,-2348.298339844,379.274017334,-186.404129028,-2347.156494141,396.218261719,-197.712905884,-2350.540039063,242.950424194,-219.974334717,-2318.672851563,243.871780396,-239.884475708,-2318.579589844,225.905929565,-230.740020752,-2317.434570313,378.504241943,-268.786773682,-2318.921875000,382.712646484,-249.043930054,-2318.253662109,397.906097412,-262.553039551,-2320.784179688,,,,,,,,,,284.460571289,-192.586349487,-2346.122558594,303.019683838,-201.360473633,-2356.607421875,333.665924072,-186.253890991,-2354.102783203,290.082336426,-227.522125244,-2327.701416016,301.146148682,-226.132080078,-2344.111572266,335.974334717,-218.110382080,-2329.991699219,283.519073486,-259.090332031,-2312.025390625,303.127319336,-253.692108154,-2327.258300781,336.420715332,-260.314514160,-2312.884765625,
16,377.897094727,-206.754211426,-2348.201416016,379.292053223,-186.364837646,-2347.113037109,396.238525391,-197.676040649,-2350.452636719,242.966171265,-219.832382202,-2318.527587891,243.882781982,-239.744903564,-2318.337890625,225.919250488,-230.591888428,-2317.252685547,378.449035645,-268.760986328,-2318.282958984,382.690582275,-249.019042969,-2317.769287109,397.862091064,-262.574157715,-2320.175292969,,,,,,,,,,284.477966309,-192.574264526,-2346.135742188,303.047943115,-201.370422363,-2356.582763672,333.687469482,-186.247467041,-2354.094726563,290.104461670,-227.432922363,-2327.478515625,301.182922363,-226.123397827,-2343.885498047,336.000030518,-218.039718628,-2329.773681641,283.473236084,-258.848083496,-2311.561767578,303.105987549,-253.605743408,-2326.817626953,336.373565674,-260.168487549,-2312.357177734,
17,377.922332764,-206.717468262,-2348.108642578,379.303985596,-186.323104858,-2347.061279297,396.257934570,-197.635726929,-2350.381103516,242.981643677,-219.698196411,-2318.415283203,243.895904541,-239.607101440,-2318.106689453,225.931823730,-230.444335938,-2317.074462891,378.388946533,-268.754791260,-2317.638183594,382.675292969,-249.018875122,-2317.286132813,397.822265625,-262.618011475,-2319.556396484,,,,,,,,,,284.494903564,-192.582321167,-2346.056884766,303.067901611,-201.389862061,-2356.489013672,333.699859619,-186.245788574,-2354.036376953,290.117767334,-227.359481812,-2327.324707031,301.194976807,-226.150222778,-2343.740234375,336.014892578,-217.988845825,-2329.680175781,283.427886963,-258.596679688,-2311.132080078,303.091735840,-253.522201538,-2326.404541016,336.326507568,-260.028320313,-2311.843261719,
18,377.949951172,-206.676040649,-2347.992187500,379.319244385,-186.277618408,-2347.008056641,396.278747559,-197.586730957,-2350.291748047,242.992691040,-219.577239990,-2318.311035156,243.906158447,-239.479446411,-2317.883544922,225.941619873,-230.312286377,-2316.923339844,378.321777344,-268.751525879,-2316.982177734,382.653808594,-249.025924683,-2316.776855469,397.774261475,-262.675048828,-2318.917236328,,,,,,,,,,284.513031006,-192.599441528,-2345.988037109,303.092651367,-201.426162720,-2356.392089844,333.713867188,-186.253143311,-2353.984863281,290.137512207,-227.290008545,-2327.128662109,301.230895996,-226.178436279,-2343.540039063,336.037231445,-217.934616089,-2329.494628906,283.375152588,-258.326232910,-2310.706787109,303.074768066,-253.415832520,-2325.986816406,336.271392822,-259.884765625,-2311.322509766,
19,377.981170654,-206.637023926,-2347.870117188,379.341766357,-186.234725952,-2346.941894531,396.306182861,-197.542083740,-2350.188720703,243.010986328,-219.447631836,-2318.180175781,243.926269531,-239.350753784,-2317.666015625,225.959518433,-230.181304932,-2316.757812500,378.262756348,-268.729064941,-2316.329589844,382.632843018,-249.012191772,-2316.265869141,397.726409912,-262.708770752,-2318.273193359,,,,,,,,,,284.537109375,-192.603210449,-2345.934326172,303.124633789,-201.448669434,-2356.308349609,333.737121582,-186.252990723,-2353.933105469,290.162414551,-227.193405151,-2326.931640625,301.266998291,-226.151077271,-2343.340087891,336.062438965,-217.841705322,-2329.306396484,283.323760986,-258.062286377,-2310.314697266,303.062377930,-253.308746338,-2325.593994141,336.217742920,-259.733947754,-2310.817626953,
20,377.999877930,-206.600509644,-2347.751953125,379.352844238,-186.198303223,-2346.893066406,396.320587158,-197.505554199,-2350.095458984,243.020050049,-219.292266846,-2318.013671875,243.935531616,-239.196533203,-2317.413574219,225.968780518,-230.020492554,-2316.554443359,378.201019287,-268.692443848,-2315.671630859,382.608337402,-248.982818604,-2315.758300781,397.675231934,-262.719665527,-2317.625488281,,,,,,,,,,284.549255371,-192.602615356,-2345.893310547,303.143981934,-201.475082397,-2356.231201172,333.749023438,-186.257934570,-2353.897949219,290.176696777,-227.077972412,-2326.706787109,301.290069580,-226.106262207,-2343.113525391,336.078155518,-217.737442017,-2329.096923828,283.269317627,-257.807128906,-2309.926513672,303.045745850,-253.211959839,-2325.205322266,336.161071777,-259.577087402,-2310.313476563,
