Number of frames: 3000
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z,iRigid16_probe_A1 x,iRigid16_probe_A1 y,iRigid16_probe_A1 z,iRigid16_probe_A2 x,iRigid16_probe_A2 y,iRigid16_probe_A2 z,iRigid16_probe_A3 x,iRigid16_probe_A3 y,iRigid16_probe_A3 z,iRigid14_probe_B1 x,iRigid14_probe_B1 y,iRigid14_probe_B1 z,iRigid14_probe_B2 x,iRigid14_probe_B2 y,iRigid14_probe_B2 z,iRigid14_probe_B3 x,iRigid14_probe_B3 y,iRigid14_probe_B3 z,iRigid8_probe_C1 x,iRigid8_probe_C1 y,iRigid8_probe_C1 z,iRigid8_probe_C2 x,iRigid8_probe_C2 y,iRigid8_probe_C2 z,iRigid8_probe_C3 x,iRigid8_probe_C3 y,iRigid8_probe_C3 z
11,378.099945068,-206.322921753,-2352.536376953,379.389739990,-186.119979858,-2349.482421875,396.362365723,-196.933563232,-2354.009033203,244.333114624,-226.435256958,-2323.934570313,246.011993408,-246.150100708,-2326.492919922,227.708358765,-237.909774780,-2324.047851563,382.248901367,-268.113128662,-2334.037109375,385.350280762,-248.597045898,-2329.754394531,401.234405518,-260.481323242,-2334.873291016,,,,,,,,,,284.614501953,-193.030517578,-2348.505615234,303.163696289,-200.646224976,-2359.875976563,333.727844238,-185.631240845,-2356.126464844,291.622833252,-230.920501709,-2334.127685547,302.460205078,-226.948013306,-2350.264648438,337.107727051,-219.542984009,-2335.384033203,287.024139404,-265.516601563,-2324.657470703,305.994873047,-256.242828369,-2338.791748047,339.883087158,-263.408813477,-2326.176513672,
12,378.112915039,-206.315841675,-2352.368896484,379.402130127,-186.097488403,-2349.409667969,396.374389648,-196.928482056,-2353.878906250,244.328903198,-226.210586548,-2323.646972656,245.993148804,-245.943374634,-2326.058593750,227.699371338,-237.672195435,-2323.693359375,382.192443848,-268.123504639,-2333.262207031,385.323913574,-248.574066162,-2329.156250000,401.189208984,-260.522888184,-2334.149414063,,,,,,,,,,284.625457764,-193.013885498,-2348.432373047,303.179351807,-200.680801392,-2359.760742188,333.740539551,-185.644912720,-2356.071289063,291.626281738,-230.807495117,-2333.758544922,302.483276367,-226.962127686,-2349.913085938,337.121551514,-219.475662231,-2335.051757813,286.964508057,-265.299926758,-2323.994873047,305.961853027,-256.183807373,-2338.195800781,339.827911377,-263.283782959,-2325.484130859,
13,378.125671387,-206.322418213,-2352.135986328,379.410400391,-186.090362549,-2349.290527344,396.387084961,-196.944763184,-2353.706298828,244.318267822,-225.988510132,-2323.358154297,245.970977783,-245.733108521,-2325.609130859,227.682556152,-237.428924561,-2323.318359375,382.121917725,-268.150329590,-2332.466308594,385.294403076,-248.571166992,-2328.540771484,401.137390137,-260.597015381,-2333.400390625,,,,,,,,,,284.637481689,-193.014099121,-2348.238769531,303.188232422,-200.741699219,-2359.531005859,333.748626709,-185.681030273,-2355.937500000,291.618255615,-230.699630737,-2333.412109375,302.484924316,-226.993515015,-2349.592773438,337.123199463,-219.415298462,-2334.777832031,286.890472412,-265.032623291,-2323.346191406,305.925262451,-256.091491699,-2337.608154297,339.759948730,-263.145324707,-2324.787597656,
14,378.136718750,-206.317214966,-2351.934570313,379.415527344,-186.073333740,-2349.172607422,396.396057129,-196.949066162,-2353.529541016,244.309616089,-225.785675049,-2323.084716797,245.954544067,-245.549255371,-2325.213378906,227.668792725,-237.222488403,-2322.985351563,382.063568115,-268.155578613,-2331.749267578,385.261505127,-248.552200317,-2327.988769531,401.085571289,-260.652282715,-2332.735351563,,,,,,,,,,284.643096924,-192.994369507,-2348.168457031,303.202941895,-200.769241333,-2359.412841797,333.760375977,-185.693328857,-2355.858398438,291.613494873,-230.580734253,-2333.079833984,302.491973877,-226.978790283,-2349.276123047,337.123962402,-219.323562622,-2334.486328125,286.826721191,-264.789672852,-2322.721191406,305.887390137,-256.005615234,-2337.046142578,339.700500488,-263.011169434,-2324.142578125,
15,378.143310547,-206.319107056,-2351.796142578,379.418975830,-186.060958862,-2349.102294922,396.403808594,-196.949493408,-2353.427001953,244.306137085,-225.605560303,-2322.851074219,245.943267822,-245.383392334,-2324.858154297,227.660614014,-237.038986206,-2322.677490234,382.014587402,-268.158905029,-2331.077636719,385.232177734,-248.525665283,-2327.482421875,401.045593262,-260.686645508,-2332.109863281,,,,,,,,,,284.648956299,-193.002410889,-2348.054199219,303.208099365,-200.810974121,-2359.276611328,333.762878418,-185.716186523,-2355.779541016,291.605316162,-230.476577759,-2332.827148438,302.481048584,-226.977661133,-2349.047851563,337.118591309,-219.241134644,-2334.313476563,286.772918701,-264.600585938,-2322.169677734,305.857666016,-255.962936401,-2336.551269531,339.650115967,-262.897644043,-2323.555664063,
16,378.156829834,-206.312759399,-2351.689941406,379.426971436,-186.047058105,-2349.064941406,396.412384033,-196.949722290,-2353.356689453,244.307495117,-225.441558838,-2322.657958984,245.931488037,-245.225860596,-2324.528808594,227.654617310,-236.862426758,-2322.391601563,381.955810547,-268.190002441,-2330.423095703,385.207977295,-248.529953003,-2327.004882813,401.008880615,-260.754119873,-2331.506347656,,,,,,,,,,284.659301758,-192.998153687,-2347.972167969,303.217010498,-200.842239380,-2359.172119141,333.770477295,-185.731414795,-2355.733398438,291.594970703,-230.401412964,-2332.637695313,302.459350586,-227.020080566,-2348.890869141,337.112548828,-219.199172974,-2334.238037109,286.717041016,-264.394927979,-2321.635742188,305.828796387,-255.919738770,-2336.078125000,339.598175049,-262.790344238,-2322.988769531,
17,378.179992676,-206.283554077,-2351.558593750,379.439300537,-186.012405396,-2348.997802734,396.430389404,-196.926315308,-2353.265136719,244.314804077,-225.287536621,-2322.476562500,245.932586670,-245.081939697,-2324.229492188,227.657440186,-236.700424194,-2322.150146484,381.900939941,-268.225616455,-2329.784423828,385.190551758,-248.547409058,-2326.531005859,400.971862793,-260.842376709,-2330.923828125,,,,,,,,,,284.677795410,-192.990615845,-2347.833984375,303.232208252,-200.864044189,-2359.018798828,333.782531738,-185.732574463,-2355.643798828,291.604858398,-230.322052002,-2332.405273438,302.477783203,-227.040664673,-2348.673095703,337.127075195,-219.145126343,-2334.051025391,286.666931152,-264.160583496,-2321.066650391,305.801666260,-255.847198486,-2335.572509766,339.551788330,-262.677551270,-2322.412597656,
18,378.197204590,-206.264587402,-2351.414550781,379.447021484,-185.982437134,-2348.924316406,396.448089600,-196.903335571,-2353.144287109,244.317916870,-225.130706787,-2322.264648438,245.935836792,-244.938644409,-2323.924804688,227.660766602,-236.544448853,-2321.907226563,381.854583740,-268.236755371,-2329.138183594,385.170501709,-248.540603638,-2326.037353516,400.936889648,-260.904998779,-2330.320068359,,,,,,,,,,284.688568115,-193.000823975,-2347.788330078,303.252807617,-200.904937744,-2358.935058594,333.794281006,-185.747558594,-2355.596435547,291.620422363,-230.217010498,-2332.110351563,302.514190674,-227.011230469,-2348.379394531,337.145477295,-219.050765991,-2333.750000000,286.617156982,-263.928924561,-2320.537353516,305.779937744,-255.766403198,-2335.091552734,339.505828857,-262.554595947,-2321.848144531,
19,378.212493896,-206.250000000,-2351.268798828,379.459686279,-185.958160400,-2348.861572266,396.463348389,-196.892745972,-2353.039306641,244.321884155,-224.957565308,-2322.033203125,245.929061890,-244.773376465,-2323.573730469,227.657272339,-236.363739014,-2321.615722656,381.800903320,-268.240051270,-2328.438964844,385.143707275,-248.523147583,-2325.514892578,400.894866943,-260.945587158,-2329.660400391,,,,,,,,,,284.702850342,-192.987304688,-2347.684814453,303.266967773,-200.933700562,-2358.801757813,333.806335449,-185.757751465,-2355.528808594,291.625122070,-230.121765137,-2331.824951172,302.528198242,-227.017730713,-2348.107421875,337.155578613,-218.984176636,-2333.508789063,286.558349609,-263.715118408,-2320.014404297,305.753692627,-255.714385986,-2334.615478516,339.450805664,-262.429779053,-2321.262207031,
20,378.231292725,-206.240554810,-2351.119384766,379.469451904,-185.939056396,-2348.791503906,396.476470947,-196.887374878,-2352.926757813,244.324935913,-224.770950317,-2321.804443359,245.918365479,-244.591156006,-2323.209228516,227.653335571,-236.160736084,-2321.312011719,381.737457275,-268.255615234,-2327.708496094,385.118591309,-248.518554688,-2324.958984375,400.850952148,-261.005035400,-2328.982177734,,,,,,,,,,284.715759277,-192.992767334,-2347.586425781,303.282135010,-200.977249146,-2358.672119141,333.816986084,-185.779388428,-2355.459228516,291.626159668,-230.028640747,-2331.552490234,302.533905029,-227.042465210,-2347.853759766,337.163970947,-218.931716919,-2333.304199219,286.500732422,-263.477050781,-2319.390625000,305.720794678,-255.643035889,-2334.049560547,339.396331787,-262.301300049,-2320.613281250,
